ID;OWNER_AGE;OWNER_SEX;NEIGHBORHOOD;BREED;BIRTHYEAR;SEX;COLOR
80700;51-60;w;2;Podenco;2009;w;braun/schwarz
80713;61-70;m;11;Dackel;2012;w;rot
80715;61-70;m;6;Mischling klein;2007;m;rehbraun
80719;61-70;w;11;Jack Russel Terrier;2004;m;weiss/schwarz/braun
80719;61-70;w;11;Parson Terrier;2005;m;beige
80734;71-80;w;2;Basset Griffon vendéen;2005;w;zobel/weiss
80735;51-60;w;12;Golden Retriever;2010;w;blondfarben
80746;71-80;w;7;Rauhaar Dackel;2016;m;schwarz/rot
80753;71-80;m;9;Mischling klein;2011;w;braun
80755;61-70;w;9;West Highland White Terrier;2012;w;weiss
80758;81-90;w;2;Labrador Retriever;2001;w;schwarz
80760;61-70;w;7;Epagneul Breton;2015;m;weiss/orange
80761;71-80;m;11;Appenzeller Sennenhund;2008;m;tricolor
80761;71-80;m;11;Appenzeller Sennenhund;2011;w;tricolor
80762;51-60;w;11;Golden Retriever;2009;m;golden
80767;61-70;w;9;Beagle;2012;m;tricolor
80778;61-70;m;2;Yorkshire Terrier;2014;w;schwarz/braun
80797;71-80;w;2;Shih Tzu;2009;m;tricolor
80835;71-80;w;7;Malteser;2013;w;weiss
80838;71-80;w;7;Toypudel;2013;w;schwarz
80840;51-60;w;10;Dalmatiner;2012;m;schwarz/weiss
80847;71-80;m;9;Beagle;2006;w;tricolor
80849;61-70;m;11;Labrador Retriever;2002;w;schwarz/weiss
80853;51-60;w;12;Labradoodle;2015;w;schwarz
80871;61-70;m;7;Mischling klein;2003;w;blondfarben
80879;61-70;m;7;Nova Scotia Duck Tolling Retriever;2016;w;rot/weiss
80881;71-80;w;7;Mops;2006;m;beige
80881;71-80;w;7;Mops;2008;w;beige
80883;51-60;w;7;Galgo Español;2014;w;braun gestromt
80884;71-80;w;7;Cocker Spaniel;2005;w;weiss/orange
80885;81-90;m;7;West Highland White Terrier;2005;w;weiss
80888;61-70;w;7;Deutscher Boxer;2011;w;hirschrot
80890;61-70;m;7;Pinscher;2004;w;tricolor
80896;81-90;m;7;Malteser;2009;w;weiss
80897;41-50;w;7;Lagotto Romagnolo;2011;w;braun
80899;51-60;w;11;Mischling klein;2015;w;tricolor
80904;61-70;m;8;Border Collie;2016;w;tricolor
80915;71-80;w;3;Golden Retriever;2006;w;blondfarben
80916;41-50;w;9;Tervueren;2003;w;braun
80916;41-50;w;9;Groenendael;2010;w;schwarz
80940;61-70;w;7;Mischling klein;2011;w;schwarz/braun
80945;71-80;w;7;Jack Russel Terrier;2003;w;tricolor
80950;71-80;w;7;Rhodesian Ridgeback;2009;m;rot
80956;91-100;m;7;Coton de Tulear;2009;w;weiss
80957;51-60;w;7;Riesenschnauzer;2012;w;schwarz
80959;51-60;w;8;Spinone;2016;w;braun schimmel
80960;71-80;w;7;Mops;2007;m;schwarz
80972;71-80;m;7;Hovawart;2014;m;schwarz
80978;61-70;w;9;Mischling klein;2012;m;tricolor
80982;61-70;w;10;Dachshund;2010;m;schwarz gestromt
80986;71-80;w;11;Border Collie;2001;w;schwarz/braun/weiss
81004;61-70;w;9;Scottish Terrier;2013;m;schwarz
81004;61-70;w;9;Scottish Terrier;2006;m;brindle
81004;61-70;w;9;Mischling klein;2016;w;beige/rot
81018;81-90;w;10;Tervueren;2005;w;braun
81027;61-70;w;8;Parson Jack Russell Terrier;2000;w;weiss/braun
81042;41-50;w;2;Dackel;2011;m;braun/weiss
81042;41-50;w;2;Mischling klein;2008;w;tricolor
81043;81-90;m;9;Zwergpudel;2003;m;braun
81045;61-70;w;6;Zwergrauhaardackel;2009;w;saufarben
81050;61-70;w;5;Labrador Retriever;2009;m;schwarz
81050;61-70;w;5;Labrador Retriever;2005;m;schwarz
81054;51-60;w;1;Mops;2011;m;schwarz
81054;51-60;w;1;Labrador Retriever;2004;m;gold/sable
81064;71-80;w;8;Labrador Retriever;2009;w;braun
81072;51-60;w;7;Mischling klein;2008;w;braun/weiss
81091;61-70;w;7;Labrador Retriever;2004;m;braun
81092;91-100;w;7;Foxterrier;2003;m;saufarben
81096;81-90;w;7;Dackel;2002;m;rot
81097;61-70;w;7;Golden Retriever;2013;w;golden
81100;61-70;w;7;Mischling klein;2009;m;braun
81100;61-70;w;7;Mischling klein;2011;w;rot/braun
81107;71-80;w;7;Deutscher Schäfer;2011;m;schwarz/gelb
81108;51-60;w;1;Phalène;2016;w;tricolor
81112;71-80;m;7;Australian Shepherd;2009;m;blue/merle
81116;51-60;w;7;Französische Bulldogge;2014;w;beige/schwarz
81132;31-40;m;7;Mischling klein;2010;w;schwarz/braun
81134;71-80;m;7;Mittelspitz;2009;w;schwarz/weiss
81139;81-90;w;7;Mops;2015;m;beige
81153;51-60;w;8;Airedale Terrier;2013;w;black/tan
81159;71-80;m;9;Airedale Terrier;2008;w;schwarz/beige
81172;61-70;w;11;Collie;2009;m;tricolor
81183;51-60;m;9;Deutscher Schäfer;2011;w;schwarz/gelb
81183;51-60;m;9;Yorkshire Terrier;2013;m;steelblue/tan
81184;61-70;w;9;Italienisches Windspiel;2006;w;schwarz
81188;51-60;m;10;Jack Russel Terrier;2011;w;braun/weiss
81195;61-70;w;10;Beagle;2004;m;tricolor
81200;81-90;m;10;Toypudel;2002;w;schwarz
81202;81-90;m;9;Toypudel;2004;w;silber
81218;71-80;w;9;Cairn Terrier;2012;m;rot/braun
81224;51-60;m;10;Miniature Bull Terrier;2010;m;rot/weiss
81234;81-90;m;9;Terrier;2001;m;schwarz/weiss
81245;71-80;w;8;Chihuahua;2009;w;rot
81245;71-80;w;8;Mischling klein;2014;w;schwarz
81248;71-80;m;10;Deutscher Schäfer;2011;m;schwarz/braun
81251;51-60;w;2;Irish Terrier;2014;w;rot/braun
81254;51-60;w;9;Tibet Terrier;2004;m;weiss/schwarz
81274;91-100;m;9;Labrador Retriever;2005;w;schwarz
81281;61-70;m;3;Labrador Retriever;2003;m;schwarz
81293;81-90;w;10;Cocker Spaniel;2010;w;braun/weiss
81309;71-80;w;10;Yorkshire Terrier;2006;w;schwarz/braun
81316;71-80;w;11;Yorkshire Terrier;2007;m;blue/tan
81322;71-80;w;6;Galgo Español;2008;w;gestromt
81323;81-90;m;6;Alpenländische Dachsbracke;2007;m;hirschrot
81325;71-80;w;12;Sheltie;2008;w;blue/merle
81336;51-60;w;6;Malteser;2010;w;weiss
81343;31-40;w;11;Papillon;2002;w;schwarz/braun/weiss
81346;61-70;w;7;Terrier;2005;w;tricolor
81348;71-80;w;7;Golden Retriever;2006;w;golden
81352;71-80;w;7;Windspiel;2011;m;steelblue
81352;71-80;w;7;Italienisches Windspiel;2011;w;schwarz/weiss
81353;81-90;w;6;Rottweiler;2008;m;schwarz/braun
81357;51-60;w;2;Mittelpudel;2016;w;schwarz
81366;61-70;w;10;Greyhound;2014;w;schwarz
81377;41-50;m;6;Bearded Collie;2003;m;braun/weiss
81377;41-50;m;6;Bearded Collie;2009;m;blau/weiss
81377;41-50;m;6;Bearded Collie;2006;m;grau/weiss
81377;41-50;m;6;Bearded Collie;2010;w;braun/weiss
81380;81-90;m;12;Pudel;2005;w;silber
81387;51-60;w;8;Mischling gross;2014;w;schwarz/braun
81391;81-90;w;7;Lagotto Romagnolo;2012;w;braun
81397;51-60;w;8;Bearded Collie;2015;m;braun/weiss
81397;51-60;w;8;Bobtail;2004;w;grau
81399;81-90;w;11;Yorkshire Terrier;2008;w;silber/braun
81403;71-80;w;6;Border Collie;2009;w;tricolor
81403;71-80;w;6;Appenzeller;2003;w;schwarz/weiss/braun
81407;71-80;m;6;Border Collie;2006;w;schwarz
81407;71-80;m;6;Spinone;2002;w;weiss
81424;71-80;w;6;Jack Russel Terrier;2007;w;schwarz/braun
81430;61-70;w;10;Bolonka Zwetna;2012;w;black/tan
81437;71-80;w;7;Dackel;2008;w;braun/weiss
81437;71-80;w;7;Mischling klein;2005;w;schwarz/braun
81438;81-90;m;7;Labrador Retriever;2007;m;schwarz
81441;71-80;w;8;Mischling klein;2004;m;weiss
81448;71-80;w;4;Rauhaar Dackel;2007;w;saufarben
81457;41-50;w;7;Beagle;2016;w;tricolor
81457;41-50;w;7;Beagle;2012;w;tricolor
81458;71-80;w;6;Berner Sennenhund;2008;m;schwarz/braun/weiss
81458;71-80;w;6;Border Terrier;2002;w;red grizzle
81458;71-80;w;6;Border Terrier;2015;m;blue/tan
81459;81-90;w;6;Cairn Terrier;2011;m;braun
81463;51-60;w;10;Mops;2013;w;beige
81466;71-80;w;3;Yorkshire Terrier;2006;w;blue/tan
81468;71-80;w;5;Yorkshire Terrier;2004;m;schwarz/braun/weiss
81469;61-70;w;6;Jack Russel Terrier;2011;m;weiss/braun
81475;71-80;w;7;Labrador Retriever;2009;w;schwarz/weiss
81482;71-80;m;12;Katalanischer Hirtenhund;2004;w;braun schwarz gestromt
81483;51-60;w;5;Labrador Retriever;2009;w;schwarz/braun
81502;71-80;w;7;Mischling gross;2015;w;weiss/braun
81504;81-90;w;7;Pudel;2003;m;grau
81507;61-70;w;6;Mittelpudel;2004;m;schwarz
81509;71-80;w;12;Spaniel;2016;m;braun/weiss
81512;81-90;w;7;Cairn Terrier;2012;w;schwarz/braun
81514;71-80;m;6;Podenco;2011;w;rehbraun
81518;71-80;m;2;Parson Terrier;2010;m;tricolor
81528;61-70;w;2;Schweizer Sennenhund;2012;w;tricolor
81531;71-80;w;3;Bolonka Zwetna;2011;w;braun/weiss/schwarz
81531;71-80;w;3;Afghane;2013;w;silber
81531;71-80;w;3;Mischling klein;2004;w;rot/schwarz
81548;41-50;w;3;Labrador Retriever;2012;m;schwarz
81557;71-80;w;2;Labrador Retriever;2004;w;schwarz
81569;91-100;w;5;Mischling klein;2008;m;dunkel gestromt
81573;71-80;w;3;Jack Russel Terrier;2007;m;weiss/schwarz
81584;51-60;m;2;Spitz;2000;m;braun/weiss
81587;51-60;w;2;Jack Russel Terrier;2000;m;grau/braun
81590;81-90;w;2;Cocker Spaniel;2006;w;blauschimmel
81595;71-80;w;1;Rauhaar Dackel;1999;w;schwarz/braun
81598;71-80;w;3;Mischling klein;2014;w;schwarz
81599;81-90;w;3;Golden Retriever;2009;w;golden
81612;51-60;w;6;Border Collie;2008;w;schwarz/weiss
81614;61-70;m;4;Dachshund;2013;m;schwarz/rot
81615;61-70;m;10;Golden Retriever;2013;m;blondfarben
81618;61-70;w;2;Zwergschnauzer;2008;w;schwarz/grau
81619;51-60;w;8;Berger Picard;2010;w;fauve
81621;61-70;w;2;West Highland White Terrier;2002;w;weiss
81623;61-70;w;10;Sennenhund;2003;m;schwarz/weiss/braun
81631;51-60;w;12;Berner Sennenhund;2012;m;schwarz
81638;41-50;w;10;Labrador Retriever;2012;m;beige
81640;71-80;w;10;Cairn Terrier;2014;m;beige
81645;71-80;m;10;Airedale Terrier;2009;w;black/tan
81648;41-50;w;10;Bolonka Zwetna;2016;w;schwarz/weiss
81648;41-50;w;10;Chihuahua;2005;m;schwarz/weiss
